Sample,X,Y,Z
876,0.551,0.496,-1.062
877,-0.336,-0.207,-1.055
878,-0.246,-0.227,-0.801
879,0.602,0.527,-0.797
880,-0.156,-0.363,-0.914
881,-0.355,-0.383,-1.168
882,0.363,0.164,-1.168
883,-0.094,-0.133,-1.066
884,-0.336,-0.121,-0.988
885,-0.086,0.113,-1.066
886,-0.086,-0.004,-1.125
887,-0.293,-0.133,-1.160
888,0.051,0.133,-1.004
889,0.160,0.363,-0.848
890,-0.125,-0.109,-0.816
891,0.188,-0.117,-0.945
892,0.359,-0.105,-1.051
893,0.070,0.277,-1.230
894,-0.652,-0.492,-1.004
895,-0.363,-0.027,-0.949
896,0.266,0.316,-0.895
897,-0.188,-0.207,-0.938
898,-0.277,-0.074,-1.051
899,0.297,0.348,-1.129
900,-0.004,0.160,-1.023
901,-0.434,-0.363,-0.977
902,0.523,0.188,-1.031
903,0.469,0.012,-1.055
904,-0.434,-0.301,-1.152
905,-0.277,-0.051,-0.934
906,0.148,0.367,-0.898
907,-0.164,-0.160,-0.879
908,-0.242,-0.133,-1.039
909,0.242,0.211,-1.078
910,-0.156,0.031,-1.039
911,-0.531,-0.250,-1.031
912,0.113,0.199,-1.121
913,0.281,0.078,-1.035
914,-0.262,-0.172,-0.961
915,-0.172,-0.234,-0.859
916,0.129,0.238,-0.914
917,-0.152,-0.125,-1.098
918,-0.016,-0.117,-1.117
919,0.324,0.211,-1.004
920,-0.059,0.047,-1.137
921,-0.254,-0.273,-1.000
922,0.023,0.234,-0.969
923,-0.090,0.066,-0.941
924,-0.148,-0.156,-0.859
925,-0.188,0.129,-0.977
926,0.066,-0.180,-1.023
927,0.090,0.055,-1.027
928,-0.062,0.105,-1.059
929,-0.141,-0.160,-1.160
930,0.156,0.141,-1.059
931,0.027,0.043,-0.988
932,-0.340,0.027,-1.012
933,0.047,-0.043,-0.961
934,0.395,0.473,-0.949
935,-0.141,0.027,-0.945
936,-0.176,-0.215,-0.852
937,0.184,0.148,-0.977
938,0.145,-0.199,-1.129
939,-0.336,-0.234,-1.227
940,-0.320,-0.062,-1.137
941,0.020,0.168,-1.000
942,-0.227,-0.055,-0.863
943,-0.258,-0.008,-1.000
944,0.180,0.047,-1.020
945,0.109,0.375,-1.035
946,-0.145,-0.148,-0.922
947,-0.105,0.055,-0.867
948,0.000,-0.082,-1.047
949,0.125,-0.156,-1.039
950,0.172,0.203,-1.086
951,-0.141,-0.211,-1.059
952,-0.141,-0.211,-1.059
953,-0.109,0.000,-1.055
954,0.219,0.113,-0.918
955,-0.125,0.102,-1.051
956,-0.320,-0.246,-1.184
957,0.223,0.332,-1.152
958,0.004,0.176,-0.871
959,-0.359,-0.082,-0.746
960,0.078,-0.020,-0.852
961,0.492,0.242,-1.082
962,-0.266,-0.426,-1.117
963,-0.430,-0.102,-1.129
964,0.078,0.043,-0.992
965,0.195,-0.004,-0.953
966,-0.258,-0.246,-1.094
967,-0.168,-0.125,-1.234
968,0.098,0.277,-1.074
969,-0.277,0.070,-0.895
970,-0.074,-0.098,-0.750
971,0.391,0.320,-0.918
972,0.020,-0.227,-1.141
973,-0.059,0.016,-1.211
974,-0.223,0.094,-0.992
975,-0.312,-0.062,-0.859
976,0.023,0.016,-0.891
977,0.176,0.152,-1.008
978,-0.535,-0.277,-1.152
979,-0.125,0.109,-1.090
980,0.168,0.398,-0.855
981,-0.078,-0.270,-0.773
982,0.320,0.008,-1.020
983,0.227,-0.055,-1.203
984,-0.438,-0.238,-1.219
985,-0.273,-0.176,-1.008
986,0.336,0.336,-0.879
987,-0.184,-0.207,-0.941
988,-0.117,-0.070,-1.035
989,-0.027,0.082,-1.137
990,-0.207,-0.020,-1.082
991,-0.082,0.012,-1.008
992,0.426,0.172,-0.969
993,0.148,0.109,-1.020
994,-0.367,-0.254,-1.039
995,-0.129,0.000,-1.047
996,0.324,0.141,-0.918
997,0.082,0.145,-0.863
998,-0.359,-0.219,-0.930
999,0.020,0.062,-1.031
Rate 1438, overflows 0
